exp,run_id,status,source,pool,seed,batch,legacy,smoke,git,rank_IC,IC,rankic_mean,p_le0,start_time
legacy_e11_off_1d_21_hs300,b5a8b07ac7de4f20aa6640d6955084f1,FINISHED,legacy_backfill,hs300,,,true,,a14b17a,0.02309050115784389,0.009107857165230384,,,1787324412907
legacy_e11_off_1d_21_zz500,9773ff1f911a478faf1afa1ff959a806,FINISHED,legacy_backfill,zz500,,,true,,a14b17a,0.010091431788175544,-0.0009221989627301187,,,1787324413366
legacy_e12_off_10d_21_hs300,0fb41c6fafc5499f92609dca231b41a5,FINISHED,legacy_backfill,hs300,,,true,,a14b17a,0.027714446153040615,0.001956599798981413,,,1787324413841
legacy_e12_off_10d_21_zz500,226c5a2e6b784aaca07b8e0fc887c5d7,FINISHED,legacy_backfill,zz500,,,true,,a14b17a,0.03877483411516661,0.006561562272927124,,,1787324414329
legacy_e13_off_20d_21_hs300,8422de730833484eb9e6b46e20fe3c5e,FINISHED,legacy_backfill,hs300,,,true,,a14b17a,0.020293985390680235,-0.007178919736510117,,,1787324414851
legacy_e13_off_20d_21_zz500,1fcd6dcdff4f4091ac22bdf9480e33b1,FINISHED,legacy_backfill,zz500,,,true,,a14b17a,0.037896627254604624,-0.006895639276876838,,,1787324415332
legacy_e14_vol10d_hs300,91f7903f6c1b42e4adc8955d64c3330a,FINISHED,legacy_backfill,hs300,,,true,,a14b17a,0.0035168831197225424,-0.0007707838239062733,,,1787324415799
legacy_e14_vol10d_zz500,43434d1488e1421eb9453f754f13b763,FINISHED,legacy_backfill,zz500,,,true,,a14b17a,0.03004514891350264,0.013296808787724683,,,1787324416361
legacy_e151_10d21_seed100_hs300,dfa4f5ec1ce94b3b9ea6b6881ad90284,FINISHED,legacy_backfill,hs300,,,true,,921634c,0.03261846478584001,0.014033465768091625,,,1787324416807
legacy_e151_10d21_seed100_zz500,fa5143ec1cbb46578b94c5c815bbba2f,FINISHED,legacy_backfill,zz500,,,true,,921634c,0.040365920845760316,0.0086329484164112,,,1787324417296
legacy_e152_10d21_seed200_hs300,5de08faad1314d9b974ad319294b62cf,FINISHED,legacy_backfill,hs300,,,true,,921634c,0.0313660637192524,0.004762233201841601,,,1787324417799
legacy_e152_10d21_seed200_zz500,06cc9ead7a4545b6a11566d517dd2723,FINISHED,legacy_backfill,zz500,,,true,,921634c,0.036774021435203585,0.0030125479182619686,,,1787324418287
legacy_e153_10d21_seed300_hs300,583ed49568974b9680cfcd2a980907cc,FINISHED,legacy_backfill,hs300,,,true,,921634c,0.03283736882286264,0.00856841476929318,,,1787324418844
legacy_e153_10d21_seed300_zz500,26d69107b3ea4d2cae2fdbd093745b94,FINISHED,legacy_backfill,zz500,,,true,,921634c,0.033528777705177995,0.00853147690448123,,,1787324419409
legacy_e16_top50_10d21_hs300,df34de3cbd634df1babd32b7ccc5d035,FINISHED,legacy_backfill,hs300,,,true,,250b98f,0.026528082522822127,0.0044904358802268195,,,1787324419914
legacy_e16_top50_10d21_zz500,4cb60e7533e64e43b7b51e421e6665d9,FINISHED,legacy_backfill,zz500,,,true,,921634c,0.03794628553357928,0.007777152951691737,,,1787324420377
legacy_e17_all_10d_21,dccc1c82cc1a4579a9046163afd37d1f,FINISHED,legacy_backfill,zz500,,,true,,3d0242e,0.026528082522822127,0.0044904358802268195,,,1787324420846
legacy_e18_off_60d_21_hs300,62eb668bee3d4e7ca4ebf246e91d029e,FINISHED,legacy_backfill,hs300,,,true,,3153722,-0.0032648514732909525,-0.044313000236734686,,,1787324421360
legacy_e18_off_60d_21_zz500,023d656a0dea40eaabb7e196fd30769d,FINISHED,legacy_backfill,zz500,,,true,,3153722,-0.035193198214445956,-0.09704944013749815,,,1787324421828
legacy_e191_15d21_seed100_hs300,856db4dde5404784b53a420ef8ec3714,FINISHED,legacy_backfill,hs300,,,true,,1e7f026,0.026370754270851372,0.004302424925219917,,,1787324422313
legacy_e192_15d21_seed200_hs300,cd5535c3d68b461f8ad3378ac67f4a5d,FINISHED,legacy_backfill,hs300,,,true,,1e7f026,0.037434864411599975,0.004914304393968874,,,1787324422948
legacy_e193_15d21_seed300_hs300,4af067abb1304bb58619cd4d377939d5,FINISHED,legacy_backfill,hs300,,,true,,1e7f026,0.03515724189835081,0.006593459108632657,,,1787324423453
legacy_e19_off_15d_21_hs300,1a624db1f93b4c5fba815b00a8c48268,FINISHED,legacy_backfill,hs300,,,true,,5e221e1,0.04057797678423752,0.010788799474249216,,,1787324423953
legacy_e19_off_15d_21_zz500,c2e1d3408f5249aa9bace2afadd64740,FINISHED,legacy_backfill,zz500,,,true,,5e221e1,0.02974922362060061,-0.008733891888670997,,,1787324424407
legacy_ranker10_hs300,40204131d7854e1d86082dc3522ff7fb,FINISHED,legacy_backfill,hs300,,,true,,,,,,,1787324424878
legacy_ranker10_zz_zz500,18c4f4821bac47d4874d2623bb494af4,FINISHED,legacy_backfill,zz500,,,true,,,,,,,1787324425148
legacy_ranker10b_hs300,4809a6aae29244acbda6d0325aaa37e5,FINISHED,legacy_backfill,hs300,,,true,,,,,,,1787324425414
legacy_ranker20_hs300,33c03aeb33dc470d869c044a2f013030,FINISHED,legacy_backfill,hs300,,,true,,,,,,,1787324425680
legacy_roll10_hs300_w00,6f3dcec24b494620b6779aca2cdbe43f,FINISHED,legacy_backfill,,,,true,,,,0.05356458590592712,,,1787324576202
legacy_roll10_hs300_w01,6d0d31a506fe4f0da4468d679e9def70,FINISHED,legacy_backfill,,,,true,,,,0.05356458590592712,,,1787324576606
legacy_roll10_hs300_w02,88d6022d98394f56a77226463ebc031c,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324576973
legacy_roll10_hs300_w03,8fcff1a9f2b34d4693d0b7c499edcf07,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324577357
legacy_roll10_hs300_w04,55979c1829fe40d98e6a012fb38b684a,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324577738
legacy_roll10_zz500_w00,b0c9bf07203f496e96bf5911d2be238d,FINISHED,legacy_backfill,,,,true,,,,-0.036839779251074366,,,1787324578111
legacy_roll10_zz500_w01,66e64c471b3e4fe0b747f9c0a6aa50d8,FINISHED,legacy_backfill,,,,true,,,,-0.036839779251074366,,,1787324578506
legacy_roll10_zz500_w02,7dc249dba18d40758acf158a4d132c96,FINISHED,legacy_backfill,,,,true,,,,0.0022139116008057075,,,1787324578906
legacy_roll10b_hs300_w00,c21897f91e354adb86ac139163597ebc,FINISHED,legacy_backfill,,,,true,,,,0.05356458590592712,,,1787324579348
legacy_roll10b_hs300_w01,bc41b3754645447c913992fd71e99e65,FINISHED,legacy_backfill,,,,true,,,,0.05356458590592712,,,1787324579817
legacy_roll10b_hs300_w02,be1444fe068246098117758e15053c75,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324580188
legacy_roll10b_hs300_w03,2a600501a55b4dec9a956b294ebc389a,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324580570
legacy_roll10b_hs300_w04,89485013da594cfe888feaf9e988a20c,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324580952
