date,open,high,low,close,volume,vwap,factor
2023-01-03,8.3878527,8.97596651,8.2914406,8.88919562,54147863.0,9.079004732282787,1.0
2023-01-04,8.8699132,8.97596651,8.75421868,8.8699132,22285630.0,9.182916129811003,1.0
2023-01-05,8.91811925,9.17843192,8.73493626,8.89883683,34938029.0,9.271945514155936,1.0
2023-01-06,8.89883683,8.92776046,8.53247085,8.60960053,29520754.0,8.978502608368336,1.0
2023-01-09,8.677089,9.08201982,8.64816537,8.8699132,38496920.0,9.198709006330898,1.0
2023-01-10,8.91811925,8.93740167,8.70601263,8.83134836,19192401.0,9.13373423940027,1.0
2023-01-11,8.82170715,8.91811925,8.68673021,8.7735011,23303752.0,9.11583269809943,1.0
2023-01-12,8.73493626,8.85063078,8.5806769,8.66744779,20318441.0,9.001619845243047,1.0
2023-01-13,8.68673021,8.86027199,8.59995932,8.83134836,17916750.0,9.106803317565966,1.0
2023-01-16,8.71565384,8.76385989,8.1950285,8.41677633,53783982.0,8.760566390008087,1.0
2023-01-17,8.4842648,8.56139448,8.33000544,8.36857028,26113465.0,8.7330070647461,1.0
2023-01-18,8.54211206,8.73493626,8.50354722,8.60960053,48328881.0,8.915925592814782,1.0
2023-01-19,8.66744779,9.10130224,8.5806769,9.08201982,49731864.0,9.25060103015644,1.0
2023-01-20,8.81206594,9.10130224,8.71565384,8.97596651,43191092.0,9.304755653086984,1.0
2023-01-30,8.94704288,8.94704288,8.03112793,8.14682245,115702815.0,8.534130524654909,1.0
2023-01-31,8.01184551,8.04076914,7.84794494,7.9057922,48483145.0,8.21860849043518,1.0
2023-02-01,7.91543341,7.95399825,7.84794494,7.94435704,31448861.0,8.201463929647563,1.0
2023-02-02,7.94435704,7.94435704,7.85758615,7.87686857,31874467.0,8.188868632062146,1.0
2023-02-03,7.86722736,7.91543341,7.81902131,7.85758615,19693005.0,8.150951328657055,1.0
2023-02-06,7.82866252,7.87686857,7.69368558,7.74189163,28382174.0,8.057990967147196,1.0
2023-02-07,7.77081526,7.77081526,7.6165559,7.64547953,27602884.0,7.955358850183916,1.0
2023-02-08,7.6165559,7.64547953,7.48157896,7.51050259,26194007.0,7.833451321517933,1.0
2023-02-09,7.44301412,7.57799106,7.44301412,7.56834985,17878197.0,7.819724790480829,1.0
2023-02-10,7.56834985,7.64547953,7.53942622,7.62619711,16760400.0,7.894165413713276,1.0
2023-02-13,7.62619711,7.76117405,7.6165559,7.74189163,23776550.0,7.98496391696861,1.0
2023-02-14,7.72260921,7.74189163,7.64547953,7.67440316,14670856.0,7.961929714257981,1.0
2023-02-15,7.66476195,7.73225042,7.65512074,7.70332679,17003400.0,7.990057694343484,1.0
2023-02-16,7.712968,7.84794494,7.57799106,7.6165559,29481768.0,8.045324611807542,1.0
2023-02-17,7.58763227,7.67440316,7.47193775,7.49122017,19545931.0,7.837518584814404,1.0
2023-02-20,7.49122017,7.55870864,7.46229654,7.52978501,18618598.0,7.80249622125146,1.0
2023-02-21,7.53942622,7.59727348,7.44301412,7.49122017,17835242.0,7.799483910563143,1.0
2023-02-22,7.45265533,7.49122017,7.41409049,7.47193775,10760157.0,7.733547823698111,1.0
2023-02-23,7.47193775,7.50086138,7.41409049,7.44301412,11640552.0,7.729978104131144,1.0
2023-02-24,7.44301412,7.46229654,7.36588444,7.39480807,15744348.0,7.693986274312534,1.0
2023-02-27,7.36588444,7.38516686,7.26947234,7.29839597,19284100.0,7.588859995021806,1.0
2023-02-28,7.29839597,7.34660202,7.24054871,7.3273196,13922814.0,7.571494799111732,1.0
