date,open,high,low,close,volume,vwap,factor
2023-01-03,3.82324498,3.852136,3.78472362,3.83287532,46493185.0,3.958005948398674,1.0
2023-01-04,3.83287532,3.852136,3.82324498,3.84250566,33025765.0,3.9857604703479237,1.0
2023-01-05,3.852136,3.88102702,3.84250566,3.87139668,40737018.0,4.012006719048508,1.0
2023-01-06,3.86176634,3.88102702,3.852136,3.86176634,32766266.0,4.013639826399505,1.0
2023-01-09,3.86176634,3.91954838,3.86176634,3.88102702,44562874.0,4.039572199943837,1.0
2023-01-10,3.89065736,3.90991804,3.86176634,3.87139668,37176014.0,4.0358435971645585,1.0
2023-01-11,3.87139668,3.89065736,3.852136,3.86176634,25748771.0,4.019714897848911,1.0
2023-01-12,3.852136,3.88102702,3.83287532,3.87139668,33368400.0,4.002979453614797,1.0
2023-01-13,3.88102702,3.91954838,3.86176634,3.91954838,55778442.0,4.038978100714968,1.0
2023-01-16,3.91954838,4.05437314,3.90991804,3.9965911,151051113.0,4.153338253058751,1.0
2023-01-17,3.9965911,4.03511246,3.97733042,4.02548212,79210149.0,4.162360494612881,1.0
2023-01-18,4.02548212,4.0447428,4.01585178,4.02548212,52815457.0,4.189520270173938,1.0
2023-01-19,4.02548212,4.08326416,4.00622144,4.08326416,72527793.0,4.212815861086522,1.0
2023-01-20,4.07363382,4.08326416,4.03511246,4.05437314,73749055.0,4.2062581093411975,1.0
2023-01-30,4.0928945,4.11215518,4.01585178,4.02548212,70872426.0,4.206984310936385,1.0
2023-01-31,4.02548212,4.0447428,3.98696076,3.9965911,55812024.0,4.163136230286147,1.0
2023-02-01,4.01585178,4.0928945,3.9965911,4.07363382,67415303.0,4.196121000153333,1.0
2023-02-02,4.19882824,4.22771926,4.07363382,4.08326416,160264074.0,4.288317977989253,1.0
2023-02-03,4.06400348,4.0928945,4.01585178,4.0447428,76216646.0,4.206948789638421,1.0
2023-02-06,4.0447428,4.0447428,4.00622144,4.02548212,39475452.0,4.184246318192886,1.0
2023-02-07,4.02548212,4.0447428,3.9965911,4.02548212,45171747.0,4.17642470436222,1.0
2023-02-08,4.03511246,4.0447428,3.97733042,3.98696076,40564405.0,4.159096512077522,1.0
2023-02-09,3.97733042,4.03511246,3.96770008,4.03511246,39347474.0,4.167537237079056,1.0
2023-02-10,4.02548212,4.05437314,4.00622144,4.01585178,31315628.0,4.18071978182906,1.0
