date,open,high,low,close,volume,vwap,factor
2023-01-03,3.6947052,3.7200114,3.669399,3.711576,85476673.0,4.381597671097938,1.0
2023-01-04,3.7031406,3.7368822,3.6862698,3.7200114,84898211.0,4.400196337706103,1.0
2023-01-05,3.711576,3.7368822,3.6947052,3.7031406,86407162.0,4.395984315744568,1.0
2023-01-06,3.7031406,3.711576,3.6609636,3.6947052,107204520.0,4.360311078394829,1.0
2023-01-09,3.6947052,3.711576,3.6862698,3.6947052,64295365.0,4.381514819147539,1.0
2023-01-10,3.6947052,3.7031406,3.6778344,3.6862698,54014563.0,4.374904805024527,1.0
2023-01-11,3.6862698,3.7368822,3.6778344,3.7200114,97370733.0,4.399175494550298,1.0
2023-01-12,3.7368822,3.753753,3.711576,3.7453176,63917725.0,4.428805579203577,1.0
2023-01-13,3.753753,3.7790592,3.7284468,3.753753,81731541.0,4.444987884909695,1.0
2023-01-16,3.753753,3.7874946,3.7284468,3.7706238,105724025.0,4.456021103623325,1.0
2023-01-17,3.7706238,3.7790592,3.7200114,3.753753,110430363.0,4.432413867189769,1.0
2023-01-18,3.753753,3.7790592,3.7453176,3.7706238,71873259.0,4.462293601296137,1.0
2023-01-19,3.7621884,3.79593,3.753753,3.7874946,73744947.0,4.478767128546448,1.0
2023-01-20,3.8043654,3.8718486,3.7874946,3.8296716,112638099.0,4.536817650393762,1.0
2023-01-30,3.8549778,3.8718486,3.8043654,3.8128008,135756787.0,4.547579140481573,1.0
2023-01-31,3.8212362,3.838107,3.8043654,3.8128008,84142039.0,4.534275681743344,1.0
2023-02-01,3.8212362,3.8296716,3.7874946,3.8128008,110185914.0,4.515656881060132,1.0
2023-02-02,3.8128008,3.838107,3.7790592,3.8128008,105653441.0,4.514209377809096,1.0
2023-02-03,3.8043654,3.8128008,3.7706238,3.7706238,85192889.0,4.486901572618343,1.0
2023-02-06,3.7621884,3.79593,3.753753,3.7874946,66097613.0,4.478891153905967,1.0
2023-02-07,3.7874946,3.8128008,3.7790592,3.79593,58848224.0,4.504770358575307,1.0
2023-02-08,3.8128008,3.838107,3.79593,3.8043654,68157337.0,4.522697431679292,1.0
2023-02-09,3.8043654,3.8128008,3.7874946,3.8043654,53135895.0,4.505019662320546,1.0
2023-02-10,3.79593,3.8043654,3.7790592,3.79593,63773713.0,4.496839148443497,1.0
2023-02-13,3.79593,3.8043654,3.7706238,3.7874946,83119053.0,4.492178122505799,1.0
2023-02-14,3.7874946,3.8128008,3.7874946,3.8043654,65108551.0,4.50517342660567,1.0
2023-02-15,3.8043654,3.8128008,3.7874946,3.8043654,59122094.0,4.503760359367515,1.0
2023-02-16,3.8128008,3.8634132,3.79593,3.8043654,136311875.0,4.542844282422203,1.0
2023-02-17,3.8043654,3.838107,3.8043654,3.8128008,73961240.0,4.532654901134703,1.0
2023-02-20,3.8212362,3.9055902,3.8212362,3.8971548,152210828.0,4.584112875005187,1.0
2023-02-21,3.9055902,3.9815088,3.8971548,3.9562026,158143803.0,4.669704631739506,1.0
2023-02-22,3.9477672,3.964638,3.922461,3.922461,87737712.0,4.677057520829811,1.0
2023-02-23,3.9393318,3.9477672,3.9055902,3.922461,97396085.0,4.651775076072103,1.0
2023-02-24,3.9308964,3.9393318,3.8887194,3.9055902,75994011.0,4.633400980374624,1.0
2023-02-27,3.8971548,3.922461,3.880284,3.8887194,72373069.0,4.626666545535052,1.0
2023-02-28,3.8887194,3.9477672,3.8887194,3.9308964,112012666.0,4.651629110765027,1.0
2023-03-01,3.9308964,4.0152504,3.9308964,4.006815,161313362.0,4.730511616018517,1.0
2023-03-02,4.006815,4.1417814,3.9899442,4.091169,210063405.0,4.847580715927175,1.0
2023-03-03,4.0996044,4.2767478,4.091169,4.2345708,366984715.0,4.990049819268358,1.0
2023-03-06,4.259877,4.3273602,4.2345708,4.302054,242714843.0,5.078418262372194,1.0
2023-03-07,4.302054,4.597293,4.302054,4.4370204,500799174.0,5.325268503837429,1.0
2023-03-08,4.3695372,4.5045036,4.3104894,4.4791974,294845495.0,5.262512591348903,1.0
2023-03-09,4.4791974,4.597293,4.4623266,4.4791974,246922568.0,5.348816804140802,1.0
2023-03-10,4.4454558,4.4960682,4.3695372,4.3948434,222698242.0,5.251280464441206,1.0
2023-03-13,4.3948434,4.6900824,4.3948434,4.6647762,402580072.0,5.426856393378557,1.0
2023-03-14,4.63947,4.7322594,4.597293,4.6563408,281365279.0,5.523388557974846,1.0
2023-03-15,4.6479054,4.7069532,4.5298098,4.6647762,258417051.0,5.4815535845968615,1.0
2023-03-16,4.6141638,4.6732116,4.5719868,4.597293,193292292.0,5.469116276090306,1.0
2023-03-17,4.6225992,4.8672258,4.6141638,4.7913072,351633875.0,5.652772054342035,1.0
2023-03-20,4.7913072,5.0021922,4.7322594,4.7744364,385227823.0,5.756490605326813,1.0
2023-03-21,4.7828718,4.8166134,4.6141638,4.6985178,255739794.0,5.5533704923919665,1.0
2023-03-22,4.7069532,4.808178,4.681647,4.7575656,181605396.0,5.626301969463507,1.0
2023-03-23,4.7491302,4.8166134,4.723824,4.808178,145659528.0,5.663345580249306,1.0
2023-03-24,4.7913072,4.7913072,4.6225992,4.6563408,281656080.0,5.531835482301679,1.0
2023-03-27,4.512939,4.5719868,4.3948434,4.512939,432898449.0,5.315962991195655,1.0
2023-03-28,4.597293,4.7406948,4.597293,4.6900824,360109135.0,5.54374279574996,1.0
2023-03-29,4.723824,4.723824,4.5888576,4.6141638,188276297.0,5.490101447448799,1.0
2023-03-30,4.6225992,4.7997426,4.6057284,4.723824,206365299.0,5.591571143945087,1.0
2023-03-31,4.723824,4.766001,4.6647762,4.7406948,150841520.0,5.596812872079252,1.0
2023-04-03,4.808178,4.8672258,4.6563408,4.6900824,235127219.0,5.6368091028627365,1.0
2023-04-04,4.7153886,4.9094028,4.6647762,4.8840966,294518073.0,5.717221997951888,1.0
2023-04-06,4.8672258,4.9262736,4.7997426,4.9009674,167291303.0,5.771437908221684,1.0
2023-04-07,4.9009674,4.9009674,4.766001,4.8166134,186512664.0,5.705386060380329,1.0
2023-04-10,4.8250488,5.0274984,4.8166134,4.9684506,251658464.0,5.851485700914076,1.0
2023-04-11,4.9431444,5.0696754,4.9178382,5.06124,253634013.0,5.955275051102866,1.0
2023-04-12,5.0949816,5.2636896,5.0865462,5.1962064,258850211.0,6.145614067589073,1.0
2023-04-13,5.229948,5.3396082,5.103417,5.1202878,297737265.0,6.168772516668345,1.0
2023-04-14,5.145594,5.2046418,5.0781108,5.145594,153636072.0,6.0924870711352215,1.0
2023-04-17,5.1287232,5.3733498,5.103417,5.356479,316033134.0,6.278126536820661,1.0
2023-04-18,5.3396082,5.356479,5.2468188,5.3396082,160474390.0,6.289433845300798,1.0
2023-04-19,5.314302,5.398656,5.2805604,5.2974312,138481182.0,6.308861827161469,1.0
2023-04-20,5.272125,5.3733498,5.229948,5.3480436,194788752.0,6.286080551458125,1.0
2023-04-21,5.3396082,5.4577038,5.2552542,5.272125,198886310.0,6.322368391318638,1.0
2023-04-24,5.314302,5.4323976,5.2805604,5.3311728,286037358.0,6.349872844406568,1.0
2023-04-25,5.356479,5.5420578,5.3396082,5.5083162,301825101.0,6.50711886666444,1.0
2023-04-26,5.4577038,5.525187,5.3817852,5.4914454,231537028.0,6.480590535048243,1.0
2023-04-27,5.4239622,5.609541,5.3902206,5.5589286,177142651.0,6.545315873194198,1.0
2023-04-28,5.5167516,5.6854596,5.4323976,5.6601534,224437452.0,6.607502532687815,1.0
2023-05-04,5.5336224,5.7023304,5.398656,5.6601534,226693879.0,6.5984295547300595,1.0
2023-05-05,5.6432826,5.6770242,5.48301,5.5589286,181224005.0,6.603651069845852,1.0
