date,open,high,low,close,volume,vwap,factor
2023-01-03,85.5,89.3,83.88,88.7,2244877.0,87.29489717253996,1.0
2023-01-04,88.8,89.9,86.37,87.78,1452461.0,87.79799216639896,1.0
2023-01-05,87.7,88.24,86.41,86.82,1386084.0,87.23078173472892,1.0
2023-01-06,86.82,87.89,85.17,85.59,1625178.0,86.50992056870078,1.0
2023-01-09,86.0,88.0,85.46,86.28,1176708.0,86.56040944737352,1.0
2023-01-10,86.28,88.28,86.28,86.65,1214260.0,87.25852803353483,1.0
2023-01-11,87.45,87.98,83.0,83.9,1450993.0,85.40808453245467,1.0
2023-01-12,83.95,85.3,82.5,83.95,673861.0,84.22404438007246,1.0
2023-01-13,83.95,84.65,83.58,83.77,628398.0,83.93329894429962,1.0
2023-01-16,83.69,89.9,83.69,87.76,2520466.0,87.55766341620955,1.0
2023-01-17,88.12,90.9,88.0,90.21,2082438.0,90.02341746068791,1.0
2023-01-18,90.95,91.16,89.31,90.33,931898.0,90.24876168851097,1.0
2023-01-19,90.48,105.5,90.33,101.5,4415345.0,99.36310264996281,1.0
2023-01-20,101.5,104.28,100.06,103.58,2432766.0,102.43907333052171,1.0
2023-01-30,101.08,103.0,98.46,99.49,3014861.0,99.98005130253102,1.0
2023-01-31,98.8,100.88,94.5,95.0,2769521.0,96.2485155303029,1.0
2023-02-01,95.65,97.35,94.8,96.7,1991563.0,96.09850327607009,1.0
2023-02-02,97.0,115.95,96.99,109.1,4662944.0,105.69620633445308,1.0
2023-02-03,108.85,113.63,107.56,111.0,3856199.0,110.36736044223859,1.0
2023-02-06,109.48,112.0,106.13,109.56,2541272.0,109.13812768959795,1.0
2023-02-07,110.0,119.47,108.01,115.16,3611254.0,113.74639459589385,1.0
2023-02-08,118.03,119.58,105.6,106.5,3839333.0,110.59195756658775,1.0
2023-02-09,105.53,113.99,104.62,113.0,3753795.0,109.84657380331105,1.0
2023-02-10,113.33,118.8,112.0,113.91,3777993.0,115.51348007262057,1.0
2023-02-13,112.28,124.0,112.11,118.05,3862376.0,119.03556431844025,1.0
2023-02-14,118.29,123.25,114.0,121.89,4040621.0,118.04703149095151,1.0
2023-02-15,120.12,125.79,117.27,122.3,3833548.0,122.10789827595742,1.0
2023-02-16,122.0,123.77,115.0,116.0,3811899.0,119.13592422307097,1.0
2023-02-17,115.75,117.04,110.68,112.49,2547720.0,112.91361180584994,1.0
2023-02-20,111.85,116.0,110.67,114.7,1993115.0,113.51997114566896,1.0
