date,open,high,low,close,volume,vwap,factor
2023-01-03,4.24860067,4.30181905,4.23973094,4.28407959,12935763.0,4.830434532543616,1.0
2023-01-04,4.30181905,4.30181905,4.24860067,4.28407959,12052912.0,4.8274814318730614,1.0
2023-01-05,4.28407959,4.28407959,4.22199148,4.22199148,14746333.0,4.77634528190839,1.0
2023-01-06,4.23973094,4.24860067,4.15990337,4.1687731,16492251.0,4.721197478743199,1.0
2023-01-09,4.18651256,4.19538229,4.15103364,4.15103364,9396268.0,4.702282996823845,1.0
2023-01-10,4.15103364,4.1687731,4.14216391,4.15990337,6946957.0,4.683496578429952,1.0
2023-01-11,4.15990337,4.15990337,4.11555472,4.11555472,11131986.0,4.662358049138761,1.0
2023-01-12,4.12442445,4.13329418,4.06233634,4.08894553,12355834.0,4.611806731136077,1.0
2023-01-13,4.09781526,4.1687731,4.09781526,4.15103364,9402870.0,4.658187963887621,1.0
2023-01-16,4.15103364,4.20425202,4.14216391,4.18651256,12482470.0,4.721235398122326,1.0
2023-01-17,4.17764283,4.21312175,4.17764283,4.19538229,7513369.0,4.727828071534886,1.0
2023-01-18,4.19538229,4.23086121,4.18651256,4.21312175,8572725.0,4.754254808126937,1.0
2023-01-19,4.22199148,4.2574704,4.19538229,4.2574704,10011652.0,4.776928244209847,1.0
2023-01-20,4.27520986,4.31068878,4.26634013,4.29294932,15116503.0,4.84056153397383,1.0
2023-01-30,4.31068878,4.33729797,4.28407959,4.28407959,19827560.0,4.8588805959987,1.0
2023-01-31,4.29294932,4.32842824,4.26634013,4.29294932,11536232.0,4.8409376857192195,1.0
2023-02-01,4.28407959,4.31955851,4.28407959,4.30181905,11323851.0,4.854233917419083,1.0
2023-02-02,4.31068878,4.32842824,4.31068878,4.31068878,11199314.0,4.87050901689157,1.0
2023-02-03,4.30181905,4.32842824,4.27520986,4.31068878,10326577.0,4.842657220296716,1.0
2023-02-06,4.31955851,4.35503743,4.29294932,4.31955851,11295196.0,4.883502812168996,1.0
2023-02-07,4.31955851,4.35503743,4.31068878,4.3461677,11731052.0,4.888238948220501,1.0
2023-02-08,4.36390716,4.37277689,4.31068878,4.31955851,8255998.0,4.891362416754461,1.0
2023-02-09,4.31068878,4.36390716,4.31068878,4.36390716,12834551.0,4.909318327536351,1.0
2023-02-10,4.35503743,4.49695311,4.35503743,4.434865,26087652.0,5.012754159324112,1.0
2023-02-13,4.434865,4.46147419,4.40825581,4.42599527,13641940.0,5.005548140513739,1.0
2023-02-14,4.434865,4.45260446,4.40825581,4.42599527,9281689.0,4.985918415279805,1.0
2023-02-15,4.434865,4.44373473,4.39938608,4.39938608,9857040.0,4.9738398210821915,1.0
2023-02-16,4.41712554,4.42599527,4.31955851,4.35503743,15145359.0,4.945503989043772,1.0
2023-02-17,4.35503743,4.39938608,4.3461677,4.38164662,9775831.0,4.944653111331405,1.0
2023-02-20,4.37277689,4.44373473,4.36390716,4.41712554,16305458.0,4.978168737118577,1.0
2023-02-21,4.42599527,4.44373473,4.39938608,4.434865,9013534.0,4.991135532411594,1.0
2023-02-22,4.42599527,4.44373473,4.40825581,4.434865,8438481.0,4.99149794257995,1.0
2023-02-23,4.46147419,4.47921365,4.434865,4.44373473,11955247.0,5.029820125004528,1.0
2023-02-24,4.44373473,4.46147419,4.40825581,4.44373473,8581076.0,5.000877271102132,1.0
