date,open,high,low,close,volume,vwap,factor
2025-07-16,5.4385595,10.05639093,5.4385595,7.09979222,1797099453.0,7.068275095908118,1.0
2025-07-17,6.36805876,6.91191471,6.26917586,6.44716508,1088739260.0,6.582101222546158,1.0
2025-07-18,6.41750021,6.75370207,6.1307398,6.57571285,803896123.0,6.596292268920421,1.0
2025-07-21,6.73392549,7.7128662,6.5262714,7.47554724,1229135665.0,7.203343078137758,1.0
2025-07-22,7.6139833,7.89085542,7.1195688,7.64364817,1178311672.0,7.546133403964109,1.0
2025-07-23,7.44588237,7.86119055,7.22833999,7.46565895,930326632.0,7.597626560334779,1.0
2025-07-24,7.26789315,7.3173346,7.0206859,7.05035077,705919027.0,7.1906236959242635,1.0
2025-07-25,6.97124445,6.98113274,6.68448404,6.69437233,535084549.0,6.842949084052135,1.0
2025-07-28,6.66470746,6.79325523,6.63504259,6.69437233,274498078.0,6.775474587111681,1.0
2025-07-29,6.66470746,6.67459575,6.58560114,6.63504259,237263552.0,6.684788564659101,1.0
2025-07-30,6.60537772,6.69437233,6.55593627,6.61526601,242902818.0,6.678960313173477,1.0
2025-07-31,6.58560114,6.59548943,6.4273885,6.43727679,258873522.0,6.569453029074174,1.0
2025-08-01,6.40761192,6.55593627,6.38783534,6.47682995,120513330.0,6.555799872097136,1.0
2025-08-04,6.4273885,6.43727679,6.37794705,6.39772363,127597729.0,6.464358327411924,1.0
2025-08-05,6.38783534,6.45705337,6.37794705,6.41750021,100656498.0,6.484170202205922,1.0
2025-08-06,6.41750021,6.4273885,6.35817047,6.38783534,134220532.0,6.446290208937631,1.0
2025-08-07,6.37794705,6.38783534,6.29884073,6.30872902,164525209.0,6.398674445810915,1.0
2025-08-08,6.30872902,6.46694166,6.27906415,6.41750021,216162781.0,6.479161508104395,1.0
2025-08-11,6.40761192,6.40761192,6.3285056,6.36805876,131153505.0,6.425588442184599,1.0
2025-08-12,6.37794705,6.37794705,6.3285056,6.33839389,95955634.0,6.413461729407155,1.0
2025-08-13,6.33839389,6.34828218,6.30872902,6.31861731,110820363.0,6.393933646653007,1.0
2025-08-14,6.30872902,6.47682995,6.30872902,6.38783534,225215169.0,6.472043819215392,1.0
2025-08-15,6.35817047,6.39772363,6.31861731,6.38783534,137445531.0,6.42365262316168,1.0
2025-08-18,6.37794705,6.4273885,6.35817047,6.41750021,166784011.0,6.476333088008059,1.0
2025-08-19,6.40761192,6.41750021,6.35817047,6.36805876,128651768.0,6.447937518355753,1.0
2025-08-20,6.37794705,6.37794705,6.33839389,6.35817047,102520864.0,6.419767843450871,1.0
2025-08-21,6.36805876,6.37794705,6.34828218,6.35817047,103511162.0,6.434716115349956,1.0
2025-08-22,6.34828218,6.36805876,6.31861731,6.36805876,123891202.0,6.410438406836993,1.0
2025-08-25,6.36805876,6.67459575,6.36805876,6.64493088,437009978.0,6.600460068099406,1.0
2025-08-26,6.63504259,6.63504259,6.53615969,6.56582456,202144390.0,6.639922341055322,1.0
2025-08-27,6.56582456,6.80314352,6.53615969,6.57571285,405572011.0,6.758651325670499,1.0
2025-08-28,6.54604798,6.57571285,6.37794705,6.48671824,240100141.0,6.539014704660252,1.0
2025-08-29,6.45705337,6.47682995,6.41750021,6.43727679,112534100.0,6.511815130702605,1.0
2025-09-01,6.43727679,6.45705337,6.40761192,6.4273885,93117707.0,6.491060330340824,1.0
2025-09-02,6.4273885,6.48671824,6.40761192,6.4273885,112369869.0,6.507447606706741,1.0
2025-09-03,6.41750021,6.4273885,6.31861731,6.3285056,113580771.0,6.430930182715523,1.0
2025-09-04,6.31861731,6.34828218,6.26917586,6.29884073,93568532.0,6.375055031214982,1.0
2025-09-05,6.29884073,6.3285056,6.24939928,6.31861731,75094354.0,6.360265132049741,1.0
2025-09-08,6.3285056,6.37794705,6.31861731,6.34828218,63435866.0,6.417994700505862,1.0
2025-09-09,6.34828218,6.35817047,6.29884073,6.31861731,63083955.0,6.391842902525689,1.0
2025-09-10,6.31861731,6.31861731,6.27906415,6.29884073,54622958.0,6.364716414295981,1.0
2025-09-11,6.29884073,6.31861731,6.26917586,6.30872902,72204742.0,6.358541448981287,1.0
2025-09-12,6.31861731,6.31861731,6.27906415,6.28895244,59273952.0,6.361486090888625,1.0
2025-09-15,6.28895244,6.28895244,6.25928757,6.26917586,52642316.0,6.34356684211994,1.0
2025-09-16,6.26917586,6.27906415,6.24939928,6.26917586,57048831.0,6.329081651471526,1.0
2025-09-17,6.25928757,6.89213813,6.24939928,6.63504259,535237892.0,6.713328373787856,1.0
2025-09-18,6.58560114,6.58560114,6.37794705,6.40761192,313558534.0,6.501635656741526,1.0
2025-09-19,6.37794705,6.39772363,6.30872902,6.3285056,109169122.0,6.406586895514283,1.0
2025-09-22,6.3285056,6.34828218,6.26917586,6.29884073,79138342.0,6.370391087040969,1.0
2025-09-23,6.31861731,6.40761192,6.26917586,6.3285056,124430109.0,6.3904950865228285,1.0
2025-09-24,6.31861731,6.3285056,6.28895244,6.3285056,71974108.0,6.379347422825997,1.0
2025-09-25,6.31861731,6.36805876,6.29884073,6.31861731,61206537.0,6.3989830940770265,1.0
2025-09-26,6.29884073,6.33839389,6.28895244,6.29884073,58610559.0,6.386947519302794,1.0
2025-09-29,6.29884073,6.3285056,6.28895244,6.3285056,64407248.0,6.381744127927963,1.0
2025-09-30,6.31861731,6.3285056,6.29884073,6.31861731,63061629.0,6.388191324077594,1.0
2025-10-09,6.31861731,6.37794705,6.31861731,6.37794705,109312051.0,6.417166245192856,1.0
2025-10-10,6.36805876,6.45705337,6.33839389,6.37794705,112156961.0,6.462634381471873,1.0
2025-10-13,6.28895244,6.35817047,6.25928757,6.33839389,88271330.0,6.3852314374327435,1.0
2025-10-14,6.34828218,6.40761192,6.33839389,6.35817047,116861527.0,6.444250696381881,1.0
2025-10-15,6.35817047,6.37794705,6.33839389,6.36805876,72862961.0,6.425846975941591,1.0
2025-10-16,6.35817047,6.39772363,6.34828218,6.34828218,73514883.0,6.436837627831089,1.0
2025-10-17,6.34828218,6.35817047,6.27906415,6.27906415,101757147.0,6.381304762013424,1.0
2025-10-20,6.30872902,6.31861731,6.27906415,6.29884073,54630728.0,6.360819623161529,1.0
2025-10-21,6.29884073,6.31861731,6.28895244,6.31861731,58291778.0,6.378232540273518,1.0
2025-10-22,6.30872902,6.3285056,6.29884073,6.30872902,45744881.0,6.384606531165749,1.0
2025-10-23,6.30872902,6.33839389,6.28895244,6.33839389,73082674.0,6.387801421852736,1.0
2025-10-24,6.33839389,6.34828218,6.30872902,6.33839389,60562199.0,6.402036976893788,1.0
2025-10-27,6.34828218,6.40761192,6.33839389,6.37794705,99969107.0,6.451152529851047,1.0
2025-10-28,6.37794705,6.38783534,6.34828218,6.36805876,67707365.0,6.434234178955274,1.0
2025-10-29,6.36805876,6.36805876,6.3285056,6.36805876,69892941.0,6.4183517687429985,1.0
2025-10-30,6.36805876,6.44716508,6.35817047,6.37794705,135743035.0,6.475146726754709,1.0
2025-10-31,6.37794705,6.38783534,6.33839389,6.34828218,82060683.0,6.4240069968708395,1.0
2025-11-03,6.34828218,6.35817047,6.31861731,6.33839389,62622664.0,6.402331717794695,1.0
