2025-11-30,002938.XSHE,688183.XSHG,300014.XSHE,601138.XSHG,002709.XSHE,603986.XSHG,300408.XSHE,301308.XSHE,601689.XSHG,601127.XSHG,603260.XSHG,601825.XSHG,601877.XSHG,002460.XSHE,600795.XSHG,600660.XSHG,601238.XSHG,600919.XSHG,601169.XSHG,600015.XSHG,300803.XSHE,688036.XSHG,601668.XSHG,600089.XSHG,600674.XSHG,600522.XSHG,600926.XSHG,601225.XSHG,601021.XSHG,000630.XSHE,601398.XSHG,688111.XSHG,600276.XSHG,603259.XSHG,300628.XSHE,601838.XSHG,000157.XSHE,000425.XSHE,601898.XSHG,002142.XSHE,600690.XSHG,000938.XSHE,000333.XSHE,603501.XSHG,002230.XSHE,300033.XSHE,300124.XSHE,300413.XSHE,001965.XSHE,601229.XSHG
2025-12-31,600362.XSHG,002493.XSHE,600000.XSHG,002202.XSHE,605499.XSHG,002001.XSHE,601229.XSHG,601288.XSHG,601021.XSHG,000157.XSHE,300251.XSHE,600176.XSHG,600028.XSHG,600938.XSHG,000776.XSHE,601398.XSHG,601009.XSHG,601169.XSHG,300033.XSHE,600183.XSHG,000301.XSHE,601111.XSHG,601857.XSHG,002415.XSHE,601939.XSHG,600015.XSHG,601668.XSHG,601166.XSHG,600741.XSHG,002074.XSHE,600089.XSHG,601328.XSHG,601618.XSHG,601390.XSHG,003816.XSHE,001965.XSHE,002648.XSHE,000425.XSHE,600660.XSHG,000166.XSHE,600570.XSHG,603993.XSHG,002558.XSHE,601766.XSHG,600600.XSHG,002352.XSHE,300394.XSHE,600036.XSHG,601868.XSHG,688303.XSHG
2026-01-31,002028.XSHE,688506.XSHG,001280.XSHE,601169.XSHG,600938.XSHG,300418.XSHE,600893.XSHG,000708.XSHE,600023.XSHG,000333.XSHE,605499.XSHG,601668.XSHG,002648.XSHE,688047.XSHG,000630.XSHE,600588.XSHG,601872.XSHG,002202.XSHE,600600.XSHG,601018.XSHG,600660.XSHG,603986.XSHG,688396.XSHG,600026.XSHG,603993.XSHG,300316.XSHE,601838.XSHG,600015.XSHG,001965.XSHE,601818.XSHG,601166.XSHG,001391.XSHE,300661.XSHE,600111.XSHG,000776.XSHE,601857.XSHG,300033.XSHE,300433.XSHE,600460.XSHG,600061.XSHG,600919.XSHG,600941.XSHG,600176.XSHG,002353.XSHE,600426.XSHG,000975.XSHE,301308.XSHE,600489.XSHG,002709.XSHE,600549.XSHG
2026-02-28,002466.XSHE,301308.XSHE,600489.XSHG,600176.XSHG,000630.XSHE,600547.XSHG,000338.XSHE,600893.XSHG,300251.XSHE,002353.XSHE,600023.XSHG,600019.XSHG,600674.XSHG,003816.XSHE,688472.XSHG,300408.XSHE,000975.XSHE,600875.XSHG,600026.XSHG,600362.XSHG,688256.XSHG,002028.XSHE,001965.XSHE,600905.XSHG,000988.XSHE,600941.XSHG,600886.XSHG,002558.XSHE,300316.XSHE,601018.XSHG,600018.XSHG,600025.XSHG,601668.XSHG,601169.XSHG,002600.XSHE,601117.XSHG,600160.XSHG,000895.XSHE,601988.XSHG,601838.XSHG,300015.XSHE,601058.XSHG,601006.XSHG,600900.XSHG,601919.XSHG,000725.XSHE,600233.XSHG,000100.XSHE,688223.XSHG,601872.XSHG
2026-03-31,600219.XSHG,600489.XSHG,600111.XSHG,603799.XSHG,600893.XSHG,600010.XSHG,603986.XSHG,600029.XSHG,600115.XSHG,002532.XSHE,601600.XSHG,601668.XSHG,000975.XSHE,600549.XSHG,600089.XSHG,601868.XSHG,001280.XSHE,601169.XSHG,601825.XSHG,000301.XSHE,601100.XSHG,000768.XSHE,002493.XSHE,600588.XSHG,601698.XSHG,601727.XSHG,601899.XSHG,000002.XSHE,603993.XSHG,600309.XSHG,600028.XSHG,600919.XSHG,600039.XSHG,603501.XSHG,300803.XSHE,603260.XSHG,002625.XSHE,600515.XSHG,601988.XSHG,002460.XSHE,600104.XSHG,000895.XSHE,000001.XSHE,000333.XSHE,600547.XSHG,600118.XSHG,600183.XSHG,300866.XSHE,688223.XSHG,000988.XSHE
2026-04-30,600026.XSHG,300476.XSHE,600522.XSHG,300502.XSHE,300433.XSHE,603986.XSHG,688183.XSHG,601668.XSHG,600547.XSHG,688008.XSHG,601939.XSHG,600018.XSHG,600900.XSHG,002463.XSHE,002475.XSHE,000333.XSHE,600926.XSHG,600029.XSHG,002415.XSHE,600221.XSHG,601607.XSHG,000001.XSHE,601318.XSHG,601360.XSHG,600887.XSHG,601998.XSHG,600176.XSHG,002709.XSHE,300450.XSHE,000977.XSHE,002916.XSHE,600183.XSHG,002938.XSHE,300408.XSHE,600015.XSHG,600118.XSHG,601838.XSHG,600050.XSHG,300251.XSHE,601857.XSHG,601009.XSHG,600919.XSHG,600674.XSHG,601728.XSHG,002493.XSHE,600941.XSHG,601169.XSHG,603259.XSHG,000301.XSHE,601878.XSHG
2026-05-31,002558.XSHE,002493.XSHE,300418.XSHE,600460.XSHG,300433.XSHE,688506.XSHG,000002.XSHE,600674.XSHG,600025.XSHG,600900.XSHG,002463.XSHE,688082.XSHG,600547.XSHG,688183.XSHG,000792.XSHE,600489.XSHG,002466.XSHE,688047.XSHG,601633.XSHG,300394.XSHE,300502.XSHE,000975.XSHE,601698.XSHG,603799.XSHG,600011.XSHG,003816.XSHE,601818.XSHG,600886.XSHG,601328.XSHG,601658.XSHG,600118.XSHG,300308.XSHE,300015.XSHE,002460.XSHE,000963.XSHE,300274.XSHE,002371.XSHE,600918.XSHG,600426.XSHG,000617.XSHE,600031.XSHG,301236.XSHE,601838.XSHG,600919.XSHG,002648.XSHE,600588.XSHG,300316.XSHE,000338.XSHE,601066.XSHG,603369.XSHG
2026-06-30,002532.XSHE,001979.XSHE,601898.XSHG,600930.XSHG,601600.XSHG,603392.XSHG,601238.XSHG,688506.XSHG,000630.XSHE,603260.XSHG,688396.XSHG,605499.XSHG,000625.XSHE,301308.XSHE,000425.XSHE,600023.XSHG,603259.XSHG,603986.XSHG,300433.XSHE,688111.XSHG,300014.XSHE,601689.XSHG,688256.XSHG,300803.XSHE,600011.XSHG,002600.XSHE,300251.XSHE,000002.XSHE,300896.XSHE,600989.XSHG,600219.XSHG,300413.XSHE,000807.XSHE,600600.XSHG,001391.XSHE,300408.XSHE,601066.XSHG,600549.XSHG,600160.XSHG,600809.XSHG,600426.XSHG,601668.XSHG,600547.XSHG,601899.XSHG,600104.XSHG,600436.XSHG,000858.XSHE,601633.XSHG,000938.XSHE,688047.XSHG
2026-07-31,600160.XSHG,002050.XSHE,300476.XSHE,300394.XSHE,600415.XSHG,600436.XSHG,002466.XSHE,002460.XSHE,603260.XSHG,300408.XSHE,300308.XSHE,603986.XSHG,603893.XSHG,300433.XSHE,688008.XSHG,688082.XSHG,000725.XSHE,000977.XSHE,300418.XSHE,301308.XSHE,002463.XSHE,002916.XSHE,002179.XSHE,002600.XSHE,300502.XSHE,600016.XSHG,000001.XSHE,001965.XSHE,601138.XSHG,002371.XSHE,301165.XSHE,002837.XSHE,600118.XSHG,000988.XSHE,601689.XSHG,600522.XSHG,002202.XSHE,002709.XSHE,300274.XSHE,600176.XSHG,600919.XSHG,601018.XSHG,601800.XSHG,600050.XSHG,601618.XSHG,600795.XSHG,600809.XSHG,000596.XSHE,601818.XSHG,600015.XSHG
2026-08-31,300661.XSHE,300476.XSHE,300394.XSHE,300502.XSHE,002938.XSHE,688256.XSHG,603986.XSHG,688082.XSHG,600183.XSHG,002463.XSHE,000977.XSHE,301165.XSHE,603259.XSHG,300308.XSHE,600176.XSHG,002837.XSHE,601138.XSHG,600026.XSHG,605117.XSHG,601689.XSHG,688047.XSHG,002466.XSHE,000938.XSHE,002916.XSHE,600588.XSHG,300316.XSHE,688183.XSHG,300418.XSHE,002558.XSHE,600011.XSHG,600875.XSHG,601881.XSHG,600930.XSHG,600522.XSHG,600926.XSHG,600023.XSHG,601111.XSHG,300750.XSHE,002648.XSHE,603799.XSHG,600905.XSHG,601825.XSHG,300832.XSHE,002384.XSHE,300408.XSHE,600489.XSHG,002460.XSHE,301308.XSHE,002311.XSHE,600018.XSHG
