2025-11-30,600699.XSHG,002670.XSHE,688248.XSHG,300432.XSHE,600177.XSHG,600642.XSHG,000519.XSHE,002583.XSHE,603737.XSHG,600126.XSHG,002465.XSHE,603233.XSHG,600763.XSHG,600765.XSHG,300627.XSHE,002271.XSHE,688538.XSHG,000582.XSHE,002429.XSHE,300699.XSHE,600598.XSHG,601139.XSHG,000739.XSHE,000785.XSHE,300144.XSHE,603658.XSHG,000738.XSHE,601990.XSHG,000786.XSHE,603000.XSHG,603833.XSHG,600516.XSHG,600578.XSHG,300136.XSHE,688172.XSHG,000009.XSHE,000039.XSHE,688411.XSHG,603444.XSHG,600967.XSHG,688617.XSHG,688582.XSHG,688629.XSHG,688615.XSHG,001386.XSHE,000021.XSHE,001309.XSHE,001389.XSHE,001696.XSHE,002007.XSHE
2025-12-31,000539.XSHE,600968.XSHG,000591.XSHE,601991.XSHG,601990.XSHG,000623.XSHE,000629.XSHE,000739.XSHE,601928.XSHG,000783.XSHE,000786.XSHE,601866.XSHG,600166.XSHG,000709.XSHE,600663.XSHG,000728.XSHE,600848.XSHG,600820.XSHG,688425.XSHG,600339.XSHG,603659.XSHG,688538.XSHG,600583.XSHG,600582.XSHG,600737.XSHG,600704.XSHG,601808.XSHG,603658.XSHG,002195.XSHE,601799.XSHG,601567.XSHG,002410.XSHE,002262.XSHE,300496.XSHE,002266.XSHE,300146.XSHE,603737.XSHG,001221.XSHE,603688.XSHG,600995.XSHG,002120.XSHE,300623.XSHE,002085.XSHE,002500.XSHE,002508.XSHE,600909.XSHG,300454.XSHE,601099.XSHG,601098.XSHG,601019.XSHG
2026-01-31,601577.XSHG,600177.XSHG,600161.XSHG,002926.XSHE,002608.XSHE,002673.XSHE,601880.XSHG,600332.XSHG,001286.XSHE,002966.XSHE,000883.XSHE,000800.XSHE,002797.XSHE,600906.XSHG,000750.XSHE,600820.XSHG,601128.XSHG,601928.XSHG,600901.XSHG,600582.XSHG,603899.XSHG,601990.XSHG,000062.XSHE,000088.XSHE,603565.XSHG,601156.XSHG,601162.XSHG,000623.XSHE,000598.XSHE,603529.XSHG,600098.XSHG,600153.XSHG,000027.XSHE,002007.XSHE,002939.XSHE,002500.XSHE,000537.XSHE,601665.XSHG,600511.XSHG,300146.XSHE,600329.XSHG,600060.XSHG,600062.XSHG,603049.XSHG,601997.XSHG,600642.XSHG,600380.XSHG,000429.XSHE,601236.XSHG,002299.XSHE
2026-02-28,300454.XSHE,600177.XSHG,000027.XSHE,000062.XSHE,000598.XSHE,000088.XSHE,601156.XSHG,600582.XSHG,600606.XSHG,600642.XSHG,600820.XSHG,600704.XSHG,002608.XSHE,002673.XSHE,600754.XSHG,000728.XSHE,000729.XSHE,000528.XSHE,000537.XSHE,000750.XSHE,000883.XSHE,000921.XSHE,688425.XSHG,000937.XSHE,001286.XSHE,603899.XSHG,002120.XSHE,002032.XSHE,603858.XSHG,603565.XSHG,603658.XSHG,601236.XSHG,002461.XSHE,002500.XSHE,601717.XSHG,603049.XSHG,601880.XSHG,601928.XSHG,601598.XSHG,600901.XSHG,600906.XSHG,601966.XSHG,601990.XSHG,601997.XSHG,600998.XSHG,601016.XSHG,601019.XSHG,601098.XSHG,600332.XSHG,600161.XSHG
2026-03-31,688708.XSHG,000737.XSHE,000830.XSHE,000831.XSHE,600497.XSHG,600392.XSHG,300058.XSHE,600141.XSHG,601212.XSHG,600595.XSHG,603179.XSHG,002423.XSHE,601236.XSHG,603939.XSHG,600901.XSHG,600377.XSHG,002966.XSHE,600062.XSHG,600998.XSHG,002508.XSHE,000513.XSHE,600398.XSHG,002773.XSHE,002850.XSHE,002673.XSHE,000661.XSHE,600688.XSHG,600663.XSHG,600642.XSHG,002007.XSHE,001389.XSHE,600873.XSHG,600737.XSHG,600704.XSHG,002261.XSHE,002262.XSHE,000683.XSHE,001309.XSHE,300548.XSHE,300558.XSHE,600295.XSHG,300487.XSHE,002312.XSHE,002299.XSHE,688538.XSHG,688520.XSHG,688475.XSHG,688617.XSHG,688297.XSHG,688363.XSHG
2026-04-30,600295.XSHG,600177.XSHG,600390.XSHG,601162.XSHG,000623.XSHE,000598.XSHE,000750.XSHE,000898.XSHE,688728.XSHG,000825.XSHE,000786.XSHE,600704.XSHG,600663.XSHG,600765.XSHG,600642.XSHG,600764.XSHG,601155.XSHG,601099.XSHG,601098.XSHG,688187.XSHG,600737.XSHG,600763.XSHG,000088.XSHE,688538.XSHG,603899.XSHG,688563.XSHG,688363.XSHG,000582.XSHE,600143.XSHG,002673.XSHE,300002.XSHE,002945.XSHE,002939.XSHE,002926.XSHE,300718.XSHE,300024.XSHE,600536.XSHG,603379.XSHG,603605.XSHG,002603.XSHE,601608.XSHG,603596.XSHG,603728.XSHG,600909.XSHG,601106.XSHG,601128.XSHG,601696.XSHG,601997.XSHG,601990.XSHG,601966.XSHG
2026-05-31,688180.XSHG,000155.XSHE,601000.XSHG,600377.XSHG,000937.XSHE,600008.XSHG,000400.XSHE,000088.XSHE,000598.XSHE,603658.XSHG,601880.XSHG,601598.XSHG,600105.XSHG,300679.XSHE,002130.XSHE,002044.XSHE,601399.XSHG,002444.XSHE,600521.XSHG,600906.XSHG,002517.XSHE,002926.XSHE,003022.XSHE,600901.XSHG,600060.XSHG,000027.XSHE,000733.XSHE,000997.XSHE,600390.XSHG,601099.XSHG,601108.XSHG,600927.XSHG,600967.XSHG,600170.XSHG,600536.XSHG,002265.XSHE,603858.XSHG,688692.XSHG,601696.XSHG,688297.XSHG,002065.XSHE,002120.XSHE,000737.XSHE,002032.XSHE,603233.XSHG,000783.XSHE,000739.XSHE,000034.XSHE,600637.XSHG,000415.XSHE
2026-06-30,600602.XSHG,600699.XSHG,000582.XSHE,000729.XSHE,300677.XSHE,300207.XSHE,300454.XSHE,601016.XSHG,300432.XSHE,000009.XSHE,601118.XSHG,603486.XSHG,688676.XSHG,600598.XSHG,688778.XSHG,002465.XSHE,002487.XSHE,688568.XSHG,688561.XSHG,603092.XSHG,000997.XSHE,603596.XSHG,603737.XSHG,603833.XSHG,000937.XSHE,688169.XSHG,002244.XSHE,688166.XSHG,688615.XSHG,300115.XSHE,300100.XSHE,300017.XSHE,300073.XSHE,300058.XSHE,003021.XSHE,000400.XSHE,600021.XSHG,300718.XSHE,600100.XSHG,600256.XSHG,300724.XSHE,600998.XSHG,600511.XSHG,600298.XSHG,601236.XSHG,603049.XSHG,000800.XSHE,002500.XSHE,600704.XSHG,600369.XSHG
2026-07-31,300548.XSHE,300570.XSHE,300604.XSHE,300623.XSHE,300285.XSHE,300679.XSHE,300724.XSHE,000733.XSHE,000960.XSHE,002203.XSHE,600563.XSHG,000032.XSHE,000519.XSHE,688772.XSHG,688777.XSHG,688709.XSHG,688322.XSHG,002056.XSHE,002025.XSHE,001389.XSHE,001696.XSHE,002138.XSHE,001309.XSHE,000062.XSHE,000050.XSHE,688336.XSHG,002126.XSHE,688295.XSHG,688301.XSHG,605358.XSHG,688498.XSHG,688469.XSHG,688568.XSHG,688629.XSHG,601869.XSHG,603156.XSHG,603119.XSHG,688411.XSHG,688387.XSHG,688385.XSHG,688343.XSHG,600105.XSHG,300748.XSHE,300751.XSHE,300054.XSHE,002487.XSHE,002402.XSHE,002407.XSHE,601958.XSHG,600392.XSHG
2026-08-31,600363.XSHG,600642.XSHG,600177.XSHG,688297.XSHG,001286.XSHE,002939.XSHE,601099.XSHG,603858.XSHG,600765.XSHG,600536.XSHG,002271.XSHE,600901.XSHG,002603.XSHE,688266.XSHG,688617.XSHG,000423.XSHE,000723.XSHE,601156.XSHG,603087.XSHG,688278.XSHG,689009.XSHG,688349.XSHG,603000.XSHG,002966.XSHE,002262.XSHE,601577.XSHG,002244.XSHE,000921.XSHE,600350.XSHG,002223.XSHE,300003.XSHE,002152.XSHE,002195.XSHE,000783.XSHE,601112.XSHG,600392.XSHG,603486.XSHG,300748.XSHE,601958.XSHG,300699.XSHE,600862.XSHG,000785.XSHE,000951.XSHE,000932.XSHE,002007.XSHE,001696.XSHE,000750.XSHE,688019.XSHG,001386.XSHE,001309.XSHE
